20	20
25	20
31.5	20
40	20
50	18.1
63	16.2
80	14.1
100	12.3
125	10.5
160	8.6
200	7
250	5.5
315	4.1
400	2.9
500	2
630	1.2
800	0.5
1000	0
1250	-0.5
1600	-1.2
2000	-2
2500	-2.9
3150	-4.1
4000	-5.5
5000	-7
6300	-8.6
8000	-10.6
10000	-12.2
12500	-14.4
16000	-15.6
20000	-20
